Report Number,Offense Parent Group,Offense,Offense Code,MCPP,Longitude,Latitude
2018,EXTORTION/BLACKMAIL,Extortion/Blackmail,210,HIGH POINT,-122.3621501,47.53551506
2018,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,CAPITOL HILL,-122.3220331,47.62152029
2018,FRAUD OFFENSES,Impersonation,26C,CAPITOL HILL,-122.3220331,47.62152029
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,BALLARD NORTH,-122.3864602,47.68408407
2018,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,CAPITOL HILL,-122.3136307,47.62310253
2018,LARCENY-THEFT,All Other Larceny,23H,RAINIER VIEW,-122.2523402,47.51187029
2018,LARCENY-THEFT,All Other Larceny,23H,ROOSEVELT/RAVENNA,-122.3065184,47.67413077
2018,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,QUEEN ANNE,-122.3561047,47.61860457
2018,LARCENY-THEFT,Shoplifting,23C,CAPITOL HILL,-122.324008,47.61907481
2018,STOLEN PROPERTY OFFENSES,Stolen Property Offenses,280,BALLARD NORTH,-122.402788,47.68530499
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,DOWNTOWN COMMERCIAL,-122.3338081,47.61210339
2018,LARCENY-THEFT,Shoplifting,23C,CAPITOL HILL,-122.324008,47.61907481
2018,LARCENY-THEFT,Shoplifting,23C,CAPITOL HILL,-122.324008,47.61907481
2018,LARCENY-THEFT,Shoplifting,23C,CAPITOL HILL,-122.324008,47.61907481
2018,LARCENY-THEFT,Shoplifting,23C,CAPITOL HILL,-122.324008,47.61907481
2018,LARCENY-THEFT,All Other Larceny,23H,UNIVERSITY,-122.3195608,47.66222203
2018,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,BALLARD SOUTH,-122.3805035,47.67090633
2018,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,DOWNTOWN COMMERCIAL,-122.3302648,47.60171616
2018,ROBBERY,Robbery,120,NORTHGATE,-122.3259808,47.70960176
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,CENTRAL AREA/SQUIRE PARK,-122.307427,47.61600018
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,MORGAN,-122.3885505,47.53903952
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,ALKI,-122.4094098,47.57680636
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,BELLTOWN,-122.3408978,47.61061932
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,-122.347606,47.62032368
2018,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,FIRST HILL,-122.3194096,47.60393961
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,WALLINGFORD,-122.338604,47.65858094
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,DOWNTOWN COMMERCIAL,-122.3338081,47.61210339
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,PHINNEY RIDGE,-122.3606548,47.68253409
2018,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,CAPITOL HILL,-122.3201136,47.61408041
2018,LARCENY-THEFT,Shoplifting,23C,ROOSEVELT/RAVENNA,-122.3009065,47.66212501
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,NORTHGATE,-122.3226043,47.70999519
2018,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,NORTHGATE,-122.3420508,47.70778305
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,MADRONA/LESCHI,-122.282506,47.61894805
2018,LARCENY-THEFT,Shoplifting,23C,ROOSEVELT/RAVENNA,-122.3009065,47.66212501
2018,LARCENY-THEFT,All Other Larceny,23H,UNIVERSITY,-122.3152507,47.66401157
2018,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,NORTHGATE,-122.3063349,47.69302764
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,RAINIER VIEW,-122.2701329,47.50658705
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,GREENWOOD,-122.3660413,47.69900491
2018,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,ROOSEVELT/RAVENNA,-122.307643,47.67528013
2018,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,UNIVERSITY,-122.3031465,47.66352305
2018,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,JUDKINS PARK/NORTH BEACON HILL,-122.3062062,47.59485089
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,FIRST HILL,-122.3135303,47.60351526
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,HIGHLAND PARK,-122.3360281,47.52042665
2018,LARCENY-THEFT,All Other Larceny,23H,MILLER PARK,-122.3092741,47.63062429
2018,LARCENY-THEFT,All Other Larceny,23H,UNIVERSITY,-122.3084893,47.67079289
2018,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,NORTHGATE,-122.3447064,47.70579857
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,DOWNTOWN COMMERCIAL,-122.3406699,47.60786035
2018,LARCENY-THEFT,All Other Larceny,23H,COMMERCIAL DUWAMISH,-122.3371031,47.54072316
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,FREMONT,-122.3507431,47.66430203
2018,LARCENY-THEFT,Theft From Building,23D,CAPITOL HILL,-122.3207558,47.60865749
2018,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,CAPITOL HILL,-122.3209424,47.62426903
2018,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,NORTHGATE,-122.3433078,47.70323798
2018,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,DOWNTOWN COMMERCIAL,-122.3380477,47.61170568
2018,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,DOWNTOWN COMMERCIAL,-122.3380477,47.61170568
2018,LARCENY-THEFT,Theft From Building,23D,DOWNTOWN COMMERCIAL,-122.3310822,47.60241242
2018,ROBBERY,Robbery,120,CAPITOL HILL,-122.324008,47.61907481
2018,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,GEORGETOWN,-122.3237608,47.55084145
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,FREMONT,-122.3534057,47.65307688
2018,LARCENY-THEFT,All Other Larceny,23H,BITTERLAKE,-122.3582103,47.71507787
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,DOWNTOWN COMMERCIAL,-122.3314085,47.60276918
2018,FRAUD OFFENSES,Impersonation,26C,ALKI,-122.4094098,47.57680636
2018,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,DOWNTOWN COMMERCIAL,-122.3310822,47.60241242
2018,LARCENY-THEFT,All Other Larceny,23H,CAPITOL HILL,-122.3201136,47.61408041
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,FIRST HILL,-122.3207468,47.60487876
2018,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,COLUMBIA CITY,-122.2841012,47.55645048
2018,LARCENY-THEFT,Theft From Building,23D,DOWNTOWN COMMERCIAL,-122.3310822,47.60241242
2018,LARCENY-THEFT,All Other Larceny,23H,CENTRAL AREA/SQUIRE PARK,-122.3102236,47.60978434
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,ROOSEVELT/RAVENNA,-122.3109137,47.67850586
2018,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,UNIVERSITY,-122.3120128,47.66052162
2018,LARCENY-THEFT,Shoplifting,23C,DOWNTOWN COMMERCIAL,-122.3353208,47.60872452
2018,LARCENY-THEFT,Theft From Building,23D,DOWNTOWN COMMERCIAL,-122.3408737,47.60640699
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,WALLINGFORD,-122.338604,47.65858094
2018,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,QUEEN ANNE,-122.3750059,47.63965805
2018,FRAUD OFFENSES,Impersonation,26C,QUEEN ANNE,-122.3750059,47.63965805
2018,LARCENY-THEFT,Theft From Building,23D,JUDKINS PARK/NORTH BEACON HILL,-122.3067619,47.59450349
2018,LARCENY-THEFT,All Other Larceny,23H,HIGH POINT,-122.3750698,47.54563408
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,BALLARD SOUTH,-122.3707776,47.66068673
2018,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,MID BEACON HILL,-122.3014698,47.54640271
2018,LARCENY-THEFT,All Other Larceny,23H,UNIVERSITY,-122.3130238,47.66944207
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,SLU/CASCADE,-122.3408925,47.61239802
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,BALLARD SOUTH,-122.3805083,47.67017748
2018,LARCENY-THEFT,Theft From Motor Vehicle,23F,DOWNTOWN COMMERCIAL,-122.3263508,47.60170997
2018,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SLU/CASCADE,-122.3424018,47.61855016
